"country_code_numeric","country_code","country","year","0-0M","0-0F","1-4M","1-4F","5-9M","5-9F","10-19M","10-19F","20-29M","20-29F","30-39M","30-39F","40-49M","40-49F","50-59M","50-59F","60-69M","60-69F","70-79M","70-79F","80-89M","80-89F","90+M","90+F"
598,"PNG","Papua New Guinea",1990,0.0522468941173105,0.0712222419876771,0.08212519041918,0.0847561173504333,0.0754354183844969,0.066518476221632,0.0907357579116409,0.0722769480906344,0.104727081464722,0.0775017925512351,0.114858628123483,0.0811613349413634,0.123336939111711,0.0838241142272067,0.131633890468731,0.0859763037804528,0.140940447047219,0.0890184921918849,0.148584805030631,0.0917291422881431,0.154392693113969,0.0944936353554788,0.15742460819457,0.0957351799487818
600,"PRY","Paraguay",1990,0.0108894626083721,0.0158464905290648,0.0206403543143184,0.0314509963734809,0.0160369721267144,0.0244378419861662,0.0201248743670603,0.0293571502235033,0.0237228520182218,0.0323710861014825,0.0263086926514172,0.0337980307652105,0.0282431839602916,0.0345461224639983,0.0296225887248163,0.0353998003638644,0.0311221964364908,0.0369455932404771,0.0323163018657483,0.0386823638855741,0.0329492847304957,0.0401360009070168,0.0326233640036772,0.0409393932254468
604,"PER","Peru",1990,0.00869583707204244,0.00405608449499845,0.0185226910081593,0.0108109890766583,0.0102556624154333,0.0063802033397779,0.014444375896473,0.00922853857139522,0.0189564288652197,0.0122868673193344,0.0223990328025185,0.0147082603920089,0.0248387645220582,0.0165567021618481,0.0264215696636133,0.0178489025146051,0.026859347636596,0.0184766211750797,0.0246598400236528,0.0175927468930801,0.0204937559890157,0.0152546809399458,0.0147003337727133,0.010987364092864
608,"PHL","Philippines",1990,0.0267929619414891,0.0268192213520056,0.0472184746363403,0.0474789508952832,0.0433347371373579,0.0436710030378778,0.0497665968165333,0.049947138526781,0.0523770974556825,0.0520068367311169,0.0531889283111779,0.0522585886018949,0.052623646677392,0.0514066185922201,0.0506532101629593,0.0499700538995844,0.0492874341632094,0.0495011871248972,0.0480952781368696,0.0491568688794391,0.0467694047462236,0.048763965075096,0.0450868614010641,0.0485409687062601
624,"GNB","Guinea-Bissau",1990,0.103511920131995,0.0688463843671932,0.122433327713718,0.085627268270729,0.124215989261914,0.0891907819670458,0.133171810718284,0.0963241169020074,0.139059394482976,0.100097789640201,0.141545164112455,0.100426103445343,0.142182541274674,0.0987223887054784,0.142487417177783,0.0967533678262659,0.142276102721534,0.09703380563976,0.139623759726078,0.096039225755352,0.134284969272842,0.0926578726446473,0.125439579758688,0.0857934890374346
626,"TLS","Timor-Leste",1990,0.0468131864722207,0.0402429179976275,0.0618228148725775,0.0552987360333868,0.0599698653144585,0.0550803223624218,0.0654694378914975,0.060810274769724,0.0685123206628706,0.0634867429156236,0.0697850564045421,0.0639620651150765,0.0696285780117603,0.0631854089855631,0.0670781071866103,0.0619355462152866,0.065238889599167,0.0620747509644003,0.0632869354118039,0.061885635268832,0.0606270630590499,0.060504387290945,0.0566031006606051,0.0567219090319481
646,"RWA","Rwanda",1990,0.0257353032679937,0.0192067132702337,0.0362591653790047,0.0293474351829508,0.0361643778531893,0.0299414913988979,0.0399576576974983,0.0326854185430714,0.0414004103138595,0.0328710869332889,0.041097231876066,0.0316689164827321,0.0398313538790349,0.0299092158518616,0.0379138260392927,0.0281079110990585,0.0373081543849856,0.0275631602133708,0.03684503443336,0.0271893004799826,0.036051096487529,0.0266488832455053,0.0343274419655945,0.0255593153854468
662,"LCA","Saint Lucia",1990,0.00508898865379344,0.0110838825900168,0.0112023104821198,0.0191066082657693,0.00991430672441232,0.0149752004208956,0.01288340563837,0.017329104764084,0.0156145766539538,0.0186011603670674,0.0173754687021991,0.0189697812341554,0.0183718819694422,0.018824689756298,0.0184904949797324,0.0183892724971232,0.0182528236948868,0.0182332525026946,0.0176869158426815,0.0179117231184318,0.0164773822363329,0.0170387498548887,0.0133937841139305,0.0146731172750263
670,"VCT","Saint Vincent and the Grenadines",1990,0.00574992301061034,0.0126872874876018,0.012733629577137,0.0208568562782215,0.0118975696238112,0.0168470450521402,0.015356102306911,0.0188730397409025,0.0184308128057089,0.0194244565549465,0.0203611078416716,0.0190919094917837,0.0213866579105376,0.0182866754097868,0.0211117261645602,0.0173247958536442,0.020402783553387,0.0167385610378252,0.019098117005914,0.0160799808926964,0.0170415787098154,0.0151675715536405,0.0135203566387913,0.0136437069599747
678,"STP","Sao Tome and Principe",1990,0.0816477412505424,0.0468019983987899,0.0997352010058638,0.0593543346053479,0.0973748961116401,0.0593364840709851,0.105086904606539,0.0646683687713238,0.109890477209929,0.0677996845573212,0.111661283868319,0.0688411323966469,0.111901628391535,0.0687726102262363,0.112448747901786,0.0689314014799693,0.113196525113185,0.0704813621961413,0.111699790449837,0.0707381584833513,0.107100412402189,0.0685888920555941,0.0976503209506358,0.062278218006385
